"Description"	"Symbole"	"Titre"	"Sous-catégorie"	"Type"	"Acheteur"	"Vendeur"	"Clôture"	"Devise prix"	"RM (%)"	"Rend. éché. - Marché (%)"	"Exclu de la facturation"
"AGF ASIAN GWTH /D"	"AGF944C"	"980981"	"Fonds d'actions - Asie et côte pacifique"	"3807400"	"9,160"	"9,160"	"9,160"	"CAD"	"n/d"	""	"Non"
"AGF CAT JAPON /S/N"	"AGF941"	"991117"	"Fonds d'actions - Asie et côte pacifique"	"3807410"	"3,120"	"3,120"	"3,120"	"CAD"	"n/d"	""	"Non"
"AGF CAT PAN MDL /S/N"	"AGF965"	"988586"	"Fonds d'actions globales"	"3807500"	"3,060"	"3,060"	"3,060"	"CAD"	"n/d"	""	"Non"
"AGF CAT SPEC AM-A /N"	"AGF202"	"981232"	"Fonds d'actions américaines"	"3807255"	"6,900"	"6,900"	"6,900"	"CAD"	"n/d"	""	"Non"
"AGF CDN BND FUND DSC"	""	"006754"	"Fonds d'investissement"	"380"	"5,230"	"5,230"	"5,230"	"CAD"	"n/d"	""	"Non"
"AGF CDN CONV INCM /D"	"AGF945C"	"991126"	"Fonds d'obligations canadiennes et fonds à revenu"	"3807705"	"9,050"	"9,050"	"9,050"	"CAD"	"n/d"	""	"Non"
"AGF CDN DIV /D"	"AGF676C"	"981042"	"Fonds de dividendes"	"3807650"	"28,300"	"28,300"	"28,300"	"CAD"	"n/d"	""	"Non"
"AGF CDN DIV G/C /S/N"	"AGF676"	"981044"	"Fonds de dividendes"	"3807154"	"35,450"	"35,450"	"35,450"	"CAD"	"0,21"	""	"Non"
"AGF CDN DIV GC-V/S/N"	"AGF3102"	"972396"	"Fonds d'actions canadiennes"	"3807154"	"11,150"	"11,150"	"11,150"	"CAD"	"4,32"	""	"Non"
"AGF CDN EQTY FND-A *"	""	"991069"	"Fonds d'actions canadiennes"	"3807150"	"14,720"	"14,720"	"0,000"	"CAD"	"n/d"	""	"Non"
"AGF CDN EQTY FND-B/D"	"AGF943C"	"991070"	"Fonds d'actions canadiennes"	"3807150"	"11,240"	"11,240"	"11,240"	"CAD"	"n/d"	""	"Non"
"AGF CDN EQUITY FUND DSC"	""	"006756"	"Fonds d'investissement"	"380"	"9,820"	"9,820"	"9,820"	"CAD"	"n/d"	""	"Non"
"AGF CDN GWT EQT-B /D"	"AGF934C"	"991063"	"Fonds d'actions canadiennes"	"3807150"	"30,750"	"30,750"	"30,750"	"CAD"	"n/d"	""	"Non"
"AGF CDN M/M A/A-B"	"AGF942C"	"991103"	"Fonds de valeurs du marché monétaire canadien"	"3807850"	"10,000"	"10,000"	"10,000"	"CAD"	"n/d"	""	"Non"
"AGF CDN OPPORT D/N"	"AGF428"	"994414"	"Fonds d'actions canadiennes"	"3807150"	"13,260"	"13,260"	"13,260"	"CAD"	"n/d"	""	"Non"
"AGF CDN RES /D"	"AGF940C"	"991073"	"Fonds d'actions - ressources canadiennes"	"3807200"	"15,940"	"15,940"	"15,940"	"CAD"	"n/d"	""	"Non"
"AGF CDN SM CAP D/N"	"AGF306"	"994251"	"Fonds d'actions canadiennes"	"3807150"	"10,690"	"10,690"	"10,690"	"CAD"	"n/d"	""	"Non"
"AGF CDN STCK A/A-B/D"	"AGF937C"	"981013"	"Fonds de placement en répartition de l'actif"	"3807600"	"29,700"	"29,700"	"29,700"	"CAD"	"n/d"	""	"Non"
"AGF CDN T-A/A /D"	"AGF683C"	"981086"	"Fonds de placement en répartition de l'actif"	"3807600"	"7,290"	"7,290"	"7,290"	"CAD"	"n/d"	""	"Non"
"AGF CDN VAL /D"	"AGF386C"	"995480"	"Fonds d'actions canadiennes"	"3807150"	"17,710"	"17,710"	"17,710"	"CAD"	"n/d"	""	"Non"
"AGF CHINA FCS /D"	"AGF802C"	"991081"	"Fonds d'actions - Asie et côte pacifique"	"3807400"	"6,800"	"6,800"	"6,800"	"CAD"	"n/d"	""	"Non"
"AGF CONT TRM /N"	"AGF794"	"998279"	"Fonds de placements alternatifs"	"3807610"	"0,480"	"0,480"	"0,480"	"CAD"	"n/d"	""	"Non"
"AGF CONV INCME FD-DSC"	""	"006732"	"Actions ordinaires"	""	"9,660"	"9,660"	"9,660"	"CAD"	"n/d"	""	"Non"
"AGF CROIS AMER /S"	"AGF931C"	"991076"	"Fonds d'actions américaines"	"3807250"	"20,050"	"20,050"	"20,050"	"CAD"	"n/d"	""	"Non"
"AGF CRS ACTV AME /N"	"AGF789"	"998272"	"Fonds d'actions nord-américaines"	"3807350"	"16,740"	"16,740"	"16,740"	"CAD"	"n/d"	""	"Non"
"AGF CRS ACTV AME/S/N"	"AGF680"	"998271"	"Fonds d'actions américaines"	"3807350"	"16,740"	"16,740"	"16,740"	"CAD"	"n/d"	""	"Non"
"AGF CRS AME /N"	"AGF201"	"981230"	"Fonds d'actions américaines"	"3807250"	"16,560"	"16,560"	"16,560"	"CAD"	"n/d"	""	"Non"
"AGF CRS AME /S/N"	"AGF931"	"991077"	"Fonds d'actions américaines"	"3807250"	"16,560"	"16,560"	"16,560"	"CAD"	"n/d"	""	"Non"
"AGF CRS ASIATQ /S/N"	"AGF944"	"980983"	"Fonds d'actions - Asie et côte pacifique"	"3807420"	"11,340"	"11,340"	"11,340"	"CAD"	"n/d"	""	"Non"
"AGF CRS ASITQ /N"	"AGF214"	"981236"	"Fonds d'actions - Asie et côte pacifique"	"3807420"	"11,340"	"11,340"	"11,340"	"CAD"	"n/d"	""	"Non"
"AGF DIR CHINE /N"	"AGF801"	"981240"	"Fonds d'actions - Asie et côte pacifique"	"3807430"	"17,910"	"17,910"	"17,910"	"CAD"	"n/d"	""	"Non"
"AGF DIR CHINE /S/N"	"AGF802"	"980963"	"Fonds d'actions - Asie et côte pacifique"	"3807430"	"17,910"	"17,910"	"17,910"	"CAD"	"n/d"	""	"Non"
"AGF ELM CONS /S/N"	"AGF568"	"939287"	"Fonds d'obligations internationales et fonds à revenu"	"3807751"	"10,230"	"10,230"	"10,230"	"CAD"	"0,30"	""	"Non"
"AGF ELM EQL /N"	"AGF483"	"939290"	"Fonds de placement équilibré"	"3807550"	"10,440"	"10,440"	"10,440"	"CAD"	"0,45"	""	"Non"
"AGF ELM MDL /FR/N"	"AGF449"	"939314"	"Fonds d'actions globales"	"3807500"	"9,480"	"9,480"	"9,480"	"CAD"	"n/d"	""	"Non"
"AGF ELM REND /FR/N"	"AGF398"	"939318"	"Fonds d'obligations internationales et fonds à revenu"	"3807751"	"9,880"	"9,880"	"9,880"	"CAD"	"4,83"	""	"Non"
"AGF EQL CDN /S/N"	"AGF980"	"990969"	"Fonds de placement équilibré"	"3807720"	"22,230"	"22,230"	"22,230"	"CAD"	"0,48"	""	"Non"
"AGF EQL CDN VAL /S/N"	"AGF683"	"981088"	"Fonds de placement équilibré"	"3807720"	"6,000"	"6,000"	"6,000"	"CAD"	"2,00"	""	"Non"
"AGF EQL MDL /N"	"AGF784"	"981081"	"Fonds de placement équilibré"	"3807520"	"16,310"	"16,310"	"16,310"	"CAD"	"1,37"	""	"Non"
"AGF EQL MDL /S/N"	"AGF684"	"981082"	"Fonds de placement équilibré"	"3807520"	"16,310"	"16,310"	"16,310"	"CAD"	"1,37"	""	"Non"
"AGF EQL MDL /S/N"	"AGF780"	"981097"	"Fonds de placement équilibré"	"3807520"	"16,310"	"16,310"	"16,310"	"CAD"	"n/d"	""	"Non"
"AGF EURO A/A D/N"	"AGF670"	"981074"	"Fonds de placement en répartition de l'actif"	"3807600"	"5,640"	"5,640"	"5,640"	"CAD"	"n/d"	""	"Non"
"AGF EURO EQTY CL /D"	"AGF812C"	"991087"	"Fonds d'actions européennes"	"3807450"	"19,440"	"19,440"	"19,440"	"CAD"	"n/d"	""	"Non"
"AGF GLB GOV BND -X"	"AGF589C"	"995478"	"Fonds d'obligations internationales et fonds à revenu"	"3807750"	"10,220"	"10,220"	"0,000"	"CAD"	"n/d"	""	"Non"
"AGF GLB GVT BND /D"	"AGF687C"	"981014"	"Fonds d'obligations internationales et fonds à revenu"	"3807750"	"10,490"	"10,490"	"10,490"	"CAD"	"n/d"	""	"Non"
"AGF GLB GVT BND /D*"	""	"981011"	"Fonds d'obligations internationales et fonds à revenu"	"3807750"	"10,830"	"10,830"	"10,830"	"CAD"	"n/d"	""	"Non"
"AGF GLB GVT BND *D/N"	"AGF687"	"981018"	"Fonds d'obligations internationales et fonds à revenu"	"3807750"	"9,620"	"9,620"	"9,620"	"CAD"	"n/d"	""	"Non"
"AGF HAUT REV FD-A"	""	"991114"	"Fonds d'actions canadiennes"	"3807152"	"8,830"	"8,830"	"8,830"	"CAD"	"n/d"	""	"Non"
"AGF HIGH INCOME FD-DSC"	""	"006706"	"Fonds d'investissement"	"380"	"9,710"	"9,710"	"9,710"	"CAD"	"n/d"	""	"Non"
"AGF I/T ACTF /FR/N"	"AGF258"	"972962"	"Fonds d'actions globales"	"3807500"	"6,720"	"6,720"	"6,720"	"CAD"	"n/d"	""	"Non"
"AGF JAPON /N"	"AGF211"	"981234"	"Fonds d'actions - Asie et côte pacifique"	"3807410"	"3,120"	"3,120"	"3,120"	"CAD"	"n/d"	""	"Non"
"AGF JPN CLS-A /N *"	""	"991115"	"Fonds d'actions - Asie et côte pacifique"	"3807400"	"6,100"	"6,100"	"0,000"	"CAD"	"n/d"	""	"Non"
"AGF JPN FND /D"	"AGF941C"	"991116"	"Fonds d'actions - Asie et côte pacifique"	"3807400"	"3,620"	"3,620"	"3,620"	"CAD"	"n/d"	""	"Non"
"AGF JPN FND CLS-A *"	""	"991112"	"Fonds d'actions - Asie et côte pacifique"	"3807400"	"5,650"	"5,650"	"0,000"	"CAD"	"n/d"	""	"Non"
"AGF JPN-A"	"AGF211C"	"981212"	"Fonds d'actions - Asie et côte pacifique"	"3807400"	"4,720"	"4,720"	"4,720"	"CAD"	"n/d"	""	"Non"
"AGF M/M CDN-AA /S/N"	"AGF942"	"991136"	"Fonds de valeurs du marché monétaire canadien"	"3807850"	"10,000"	"10,000"	"10,000"	"CAD"	"0,00"	""	"Non"
"AGF MANAGEMENT LTD-B NV"	"AGF.B"	"021915"	"Actions ordinaires"	"315"	"15,570"	"15,660"	"15,640"	"CAD"	"6,39"	""	"Non"
"AGF MASTER LPU"	"AFP.UN"	"021917"	"Actions ordinaires"	"3308002"	"0,425"	"0,450"	"0,450"	"CAD"	"44,40"	""	"Non"
"AGF MCH EMRG /N"	"AGF791"	"998268"	"Fonds d'actions internationales"	"3807310"	"10,000"	"10,000"	"10,000"	"CAD"	"0,31"	""	"Non"
"AGF MCH MON CDN /S/N"	"AGF930"	"991106"	"Fonds de valeurs du marché monétaire canadien"	"3807850"	"10,000"	"10,000"	"10,000"	"CAD"	"0,00"	""	"Non"
"AGF MDL EQL /FR/N"	"AGF253"	"972959"	"Fonds de placement équilibré"	"3807520"	"16,310"	"16,310"	"16,310"	"CAD"	"1,37"	""	"Non"
"AGF MDL OBL GOUV/S/N"	"AGF148"	"995539"	"Fonds d'obligations internationales et fonds à revenu"	"3807750"	"11,110"	"11,110"	"11,110"	"CAD"	"2,99"	""	"Non"
"AGF METX PREC /N"	"AGF333"	"995418"	"Fonds d'actions - ressources canadiennes"	"3807670"	"28,250"	"28,250"	"28,250"	"CAD"	"n/d"	""	"Non"
"AGF METX PREC /S/N"	"AGF334"	"995419"	"Fonds d'actions - ressources canadiennes"	"3807670"	"28,250"	"28,250"	"28,250"	"CAD"	"n/d"	""	"Non"
"AGF MMKT ACCT-B- DSC-NCI"	"NAGF93"	"006708"	"Fonds d'investissement"	"3807000"	"10,000"	"10,000"	"10,000"	"CAD"	"n/d"	""	"Non"
"AGF MMKT ACT-B- DSC"	"AGF930"	"991107"	"Fonds d'investissement"	"3807850"	"10,000"	"10,000"	"10,000"	"CAD"	"0,00"	""	"Non"
"AGF OBL CDN /S/N"	"AGF933"	"991066"	"Fonds d'obligations canadiennes et fonds à revenu"	"3807700"	"5,720"	"5,720"	"5,720"	"CAD"	"8,86"	""	"Non"
"AGF OBL CDN R/E /N"	"AGF419"	"995320"	"Fonds de valeurs à revenu fixe"	"3807680"	"6,150"	"6,150"	"6,150"	"CAD"	"14,35"	""	"Non"
"AGF OBL CDN R/E /S/N"	"AGF420"	"995321"	"Fonds de valeurs à revenu fixe"	"3807680"	"6,150"	"6,150"	"6,150"	"CAD"	"14,35"	""	"Non"
"AGF OBL CDN-A/A-B"	"AGF936C"	"981008"	"Fonds d'obligations canadiennes et fonds à revenu"	"3807700"	"5,570"	"5,570"	"5,570"	"CAD"	"n/d"	""	"Non"
"AGF OBL CDN-B /S"	"AGF933C"	"991067"	"Fonds d'obligations canadiennes et fonds à revenu"	"3807700"	"5,560"	"5,560"	"5,560"	"CAD"	"n/d"	""	"Non"
"AGF OBL MDL RER S/N"	"AGF572"	"995516"	"Fonds d'obligations internationales et fonds à revenu"	"3807750"	"10,270"	"10,270"	"10,270"	"CAD"	"1,52"	""	"Non"
"AGF OBL RA CDN-B/S/N"	"AGF936"	"991138"	"Fonds d'obligations canadiennes et fonds à revenu"	"3807700"	"5,720"	"5,720"	"5,720"	"CAD"	"8,86"	""	"Non"
"AGF P/C CDN /FR/N"	"AGF259"	"972947"	"Fonds d'actions canadiennes"	"3807152"	"6,790"	"6,790"	"6,790"	"CAD"	"n/d"	""	"Non"
"AGF PANOR MDL/FR/S/N"	"AGF290"	"972980"	"Fonds d'actions globales"	"3807500"	"3,060"	"3,060"	"3,060"	"CAD"	"n/d"	""	"Non"
"AGF RER EURO ACT S/N"	"AGF432"	"981542"	"Fonds d'actions européennes"	"3807450"	"5,870"	"5,870"	"5,870"	"CAD"	"n/d"	""	"Non"
"AGF RESS CDN /N"	"AGF210"	"981224"	"Fonds d'actions - ressources canadiennes"	"3807200"	"48,550"	"48,550"	"48,550"	"CAD"	"n/d"	""	"Non"
"AGF RESS CDN /S/N"	"AGF940"	"991072"	"Fonds d'actions - ressources canadiennes"	"3807200"	"48,550"	"48,550"	"48,550"	"CAD"	"n/d"	""	"Non"
"AGF REV DIV /S/N"	"AGF699"	"973355"	"Fonds de dividendes"	"3807725"	"11,630"	"11,630"	"11,630"	"CAD"	"2,90"	""	"Non"
"AGF RSP AMER GRW /N"	"AGF410"	"981549"	"Fonds d'actions américaines"	"3807250"	"2,970"	"2,970"	"2,970"	"CAD"	"n/d"	""	"Non"
"AGF RSP GLB BND *D/N"	"AGF671"	"981024"	"Fonds d'obligations internationales et fonds à revenu"	"3807750"	"4,500"	"4,500"	"4,500"	"CAD"	"n/d"	""	"Non"
"AGF RSP GLB BND DSC"	"AGF671"	"981022"	"Fonds d'investissement"	"3807750"	"4,730"	"4,730"	"4,730"	"CAD"	"n/d"	""	"Non"
"AGF RSP GLB INCM-A *"	""	"991018"	"Fonds d'obligations internationales et fonds à revenu"	"3807750"	"11,850"	"11,850"	"0,000"	"CAD"	"n/d"	""	"Non"
"AGF RSP INTL VAL /N"	"AGF414"	"970788"	"Fonds d'actions globales"	"3807500"	"5,180"	"5,180"	"5,180"	"CAD"	"n/d"	""	"Non"
"AGF RSP JAPAN FD/D/N"	"AGF433"	"981541"	"Fonds d'actions - Asie et côte pacifique"	"3807410"	"3,070"	"3,070"	"3,070"	"CAD"	"n/d"	""	"Non"
"AGF RSP WRLD COS D/N"	"AGF310"	"970930"	"Fonds d'actions globales"	"3807500"	"4,640"	"4,640"	"4,640"	"CAD"	"n/d"	""	"Non"
"AGF RSP WRLD EQT D/N"	"AGF308"	"994249"	"Fonds d'actions globales"	"3807500"	"5,820"	"5,820"	"5,820"	"CAD"	"n/d"	""	"Non"
"AGF RSP WRLD EQTY /N"	"AGF307"	"994250"	"Fonds d'actions globales"	"3807500"	"5,820"	"5,820"	"5,820"	"CAD"	"n/d"	""	"Non"
"AGF SPEC FND-C *"	""	"990992"	"Fonds d'actions américaines"	"3807250"	"5,530"	"5,530"	"0,000"	"CAD"	"n/d"	""	"Non"
"AGF SPEC US CL-A /N*"	""	"981007"	"Fonds d'actions américaines"	"3807250"	"12,760"	"12,760"	"12,760"	"CAD"	"n/d"	""	"Non"
"AGF TTR ACTF MDL/S/N"	"AGF695"	"998275"	"Fonds d'actions globales"	"3807500"	"6,720"	"6,720"	"6,720"	"CAD"	"n/d"	""	"Non"
"AGF TTR C.R.C. /S/N"	"AGF945"	"991125"	"Fonds d'obligations canadiennes et fonds à revenu"	"3807703"	"8,950"	"8,950"	"8,950"	"CAD"	"2,28"	""	"Non"
"AGF TTR CDN /N"	"AGF781"	"981039"	"Fonds d'actions canadiennes"	"3807154"	"44,060"	"44,060"	"44,060"	"CAD"	"n/d"	""	"Non"
"AGF TTR CDN /S/N"	"AGF681"	"981040"	"Fonds d'actions canadiennes"	"3807154"	"44,060"	"44,060"	"44,060"	"CAD"	"n/d"	""	"Non"
"AGF TTR CDN-AA /S/N"	"AGF937"	"991140"	"Fonds d'actions canadiennes"	"3807154"	"44,060"	"44,060"	"44,060"	"CAD"	"n/d"	""	"Non"
"AGF TTR INTL /N"	"AGF255"	"998523"	"Fonds d'actions internationales"	"3807300"	"10,570"	"10,570"	"10,570"	"CAD"	"n/d"	""	"Non"
"AGF TTR INTL /S/N"	"AGF955"	"998517"	"Fonds d'actions internationales"	"3807300"	"10,570"	"10,570"	"10,570"	"CAD"	"n/d"	""	"Non"
"AGF TTR INTL U$ /S/N"	"AGF655"	"998522"	"Fonds d'actions internationales"	"3807300"	"9,990"	"9,990"	"9,990"	"USD"	"n/d"	""	"Non"
"AGF VAL CDN /S/N"	"AGF386"	"995486"	"Fonds d'actions canadiennes"	"3807154"	"20,190"	"20,190"	"20,190"	"CAD"	"2,46"	""	"Non"
"AGF VAL INTL /S"	"AGF682C"	"981030"	"Fonds d'actions globales"	"3807500"	"36,960"	"36,960"	"36,960"	"CAD"	"n/d"	""	"Non"
"AGF VAL INTL RER/S/N"	"AGF434"	"970789"	"Fonds d'actions globales"	"3807500"	"5,180"	"5,180"	"5,180"	"CAD"	"n/d"	""	"Non"
"AGF VAL MDL /N"	"AGF782"	"981033"	"Fonds d'actions globales"	"3807500"	"26,960"	"26,960"	"26,960"	"CAD"	"0,45"	""	"Non"
"AGF VAL MDL /S/N"	"AGF682"	"981034"	"Fonds d'actions globales"	"3807500"	"26,960"	"26,960"	"26,960"	"CAD"	"0,45"	""	"Non"
"AGF VAL MDL /S/N"	"AGF952"	"974945"	"Fonds d'actions globales"	"3807500"	"5,050"	"5,050"	"5,050"	"CAD"	"n/d"	""	"Non"
"AGF VAL MDL /FR/N"	"AGF284"	"972974"	"Fonds d'actions globales"	"3807500"	"5,050"	"5,050"	"5,050"	"CAD"	"n/d"	""	"Non"
"AGF VAL MDL U$ S/N"	"AGF582"	"981036"	"Fonds d'actions globales"	"3807500"	"25,480"	"25,480"	"25,480"	"USD"	"0,44"	""	"Non"
"AGF WRLD BAL /D/N"	"AGF679"	"981066"	"Fonds de placement équilibré"	"3807550"	"14,280"	"14,280"	"14,280"	"CAD"	"n/d"	""	"Non"
"AGF WRLD EQTY /N"	"AGF144"	"994214"	"Fonds d'actions globales"	"3807500"	"15,330"	"15,330"	"15,330"	"CAD"	"n/d"	""	"Non"
"AGF WRLD EQTY -X"	"AGF145C"	"995567"	"Fonds d'actions globales"	"3807500"	"20,190"	"20,190"	"20,190"	"CAD"	"n/d"	""	"Non"
"AGILENT TECHNOLOGIES INC"	"A"	"007145"	"Actions ordinaires"	"315"	"29,440"	"29,450"	"29,450"	"USD"	"n/d"	""	"Non"
"AGL RES INC"	"AGL"	"000618"	"Actions ordinaires"	"315"	"35,880"	"35,910"	"35,910"	"USD"	"4,79"	""	"Non"
"AGNI-EA CV RD 4.5%15FV12S"	"AEM.DB.U"	"R04001"	"Obligations (autres)"	"2756000"	"100,000"	"0,000"	"0,000"	"USD"	"4,50"	"4,498695"	"Non"
"AGNICO-EAGLE MINES LTD"	"AEM"	"006882"	"Actions ordinaires"	"315"	"56,050"	"56,240"	"56,100"	"CAD"	"0,34"	""	"Non"
"AGRIUM INC"	"AGU"	"006906"	"Actions ordinaires"	"315"	"62,300"	"62,500"	"62,380"	"CAD"	"0,19"	""	"Non"
"AGS ENERGY 2005-1 F/T LPU"	""	"002250"	"Actions ordinaires"	"3308002"	"13,930"	"13,930"	"13,930"	"CAD"	"n/d"	""	"Non"
"AGS LAW RES LTD/SF/N"	"CGS301"	"944078"	"Fonds de placements alternatifs"	"3807610"	"16,095"	"16,095"	"16,095"	"CAD"	"n/d"	""	"Non"
"AGT BEO CB 8.8% 22SP25"	""	"R00080"	"Obligations corporatives"	"2606000"	"126,520"	"126,520"	"126,520"	"CAD"	"6,96"	"6,138205"	"Non"
"AIC ADVTGE /D"	"AIC116C"	"991205"	"Fonds d'actions canadiennes"	"3807150"	"67,670"	"67,670"	"67,670"	"CAD"	"n/d"	""	"Non"
"AIC AVANT /S/N"	"AIC116"	"991206"	"Fonds d'actions canadiennes"	"3807154"	"67,900"	"67,900"	"67,900"	"CAD"	"0,55"	""	"Non"
"AIC AVANT AM U$ S/N"	"AIC910"	"990144"	"Fonds d'actions globales"	"3807620"	"4,104"	"4,104"	"4,104"	"USD"	"n/d"	""	"Non"
"AIC AVANT AME /S/N"	"AIC310"	"993537"	"Fonds d'actions globales"	"3807620"	"4,340"	"4,340"	"4,340"	"CAD"	"n/d"	""	"Non"
"AIC AVANT II /N"	"AIC119"	"990853"	"Fonds d'actions canadiennes"	"3807154"	"8,070"	"8,070"	"8,070"	"CAD"	"n/d"	""	"Non"
"AIC AVANT II /D/N"	"AIC120"	"990854"	"Fonds d'actions canadiennes"	"3807154"	"8,070"	"8,070"	"8,070"	"CAD"	"n/d"	""	"Non"
"AIC AVANTAGE I /N"	"AIC715"	"981116"	"Fonds d'actions canadiennes"	"3807154"	"67,900"	"67,900"	"67,900"	"CAD"	"0,55"	""	"Non"
"AIC CC MCH MON /N"	"AIC2731"	"984643"	"Fonds de valeurs du marché monétaire canadien"	"3807850"	"5,903"	"5,903"	"5,903"	"CAD"	"n/d"	""	"Non"
"AIC CC SCV CD DV/S/N"	"AIC2302"	"984819"	"Fonds d'actions canadiennes"	"3807154"	"4,390"	"4,390"	"4,390"	"CAD"	"1,47"	""	"Non"
"AIC CDA DVSF /N"	"AIC301"	"992572"	"Fonds d'actions canadiennes"	"3807154"	"35,360"	"35,360"	"35,360"	"CAD"	"n/d"	""	"Non"
"AIC CDA DVSF /S/N"	"AIC302"	"992573"	"Fonds d'actions canadiennes"	"3807154"	"35,360"	"35,360"	"35,360"	"CAD"	"n/d"	""	"Non"
"AIC CIBLE AME /S/N"	"AIC336"	"970521"	"Fonds d'actions américaines"	"3807250"	"3,890"	"3,890"	"3,890"	"CAD"	"n/d"	""	"Non"
"AIC CIBLE CDN /S/N"	"AIC314"	"989044"	"Fonds d'actions canadiennes"	"3807154"	"7,270"	"7,270"	"7,270"	"CAD"	"3,36"	""	"Non"
"AIC CIBLE MDL /FR/N"	"AIC318"	"959364"	"Fonds d'actions globales"	"3807500"	"10,430"	"10,430"	"10,430"	"CAD"	"1,21"	""	"Non"
"AIC COP ITL R/D /S/N"	"AIC234"	"991212"	"Fonds d'actions internationales"	"3807300"	"10,820"	"10,820"	"10,820"	"CAD"	"1,52"	""	"Non"
"AIC DIVF CDA SPLIT PRF S*"	"ADC.PR.A"	"000330"	"Actions privilégiées structurées"	"3108005"	"25,120"	"25,290"	"25,120"	"CAD"	"5,97"	""	"Non"
"AIC DVSF SCI&TEC/S/N"	"AIC338"	"989977"	"Autres titres"	"3807170"	"1,040"	"1,040"	"1,040"	"CAD"	"n/d"	""	"Non"
"AIC EQL CDN /S/N"	"AIC402"	"993226"	"Fonds de placement équilibré"	"3807720"	"4,910"	"4,910"	"4,910"	"CAD"	"1,47"	""	"Non"
"AIC GLOBAL FINCL SPLIT A"	"ASC"	"002102"	"Actions ordinaires"	"3308005"	"1,100"	"1,500"	"1,100"	"CAD"	"47,73"	""	"Non"
"AIC GLOBAL FINCL SPLIT PF"	"ASC.PR.A"	"002103"	"Actions privilégiées"	"3108005"	"9,150"	"9,320"	"9,200"	"CAD"	"5,71"	""	"Non"
"AIC INTL RES CORP"	"AIREF"	"000321"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"CAD"	"n/d"	""	"Non"
"AIC MCH MON /N"	"AIC731"	"991085"	"Fonds de valeurs du marché monétaire canadien"	"3807850"	"10,000"	"10,000"	"10,000"	"CAD"	"0,06"	""	"Non"
"AIC MCH MON /S/N"	"AIC232"	"991223"	"Fonds de valeurs du marché monétaire canadien"	"3807850"	"10,000"	"10,000"	"10,000"	"CAD"	"0,06"	""	"Non"
"AIC OBL /S/N"	"AIC322"	"982643"	"Fonds d'obligations canadiennes et fonds à revenu"	"3807700"	"5,850"	"5,850"	"5,850"	"CAD"	"2,90"	""	"Non"
"AIC RER CIBLE AM/S/N"	"AIC454"	"970525"	"Fonds d'actions américaines"	"3807250"	"5,880"	"5,880"	"5,880"	"CAD"	"n/d"	""	"Non"
"AIC RSP DV SC TC D/N"	"AIC456"	"989980"	"Fonds d'actions globales"	"3807170"	"1,460"	"1,460"	"1,460"	"CAD"	"n/d"	""	"Non"
"AIC RSP GLB ADV /D/N"	"AIC446"	"981476"	"Fonds d'actions internationales"	"3807300"	"2,750"	"2,750"	"2,750"	"CAD"	"n/d"	""	"Non"
"AIC RSP WLD EQTY D/N"	"AIC450"	"981470"	"Fonds d'actions internationales"	"3807300"	"3,070"	"3,070"	"3,070"	"CAD"	"n/d"	""	"Non"
"AIC VAL /N"	"AIC117"	"991202"	"Fonds d'actions américaines"	"3807250"	"19,040"	"19,040"	"19,040"	"CAD"	"n/d"	""	"Non"
"AIC VAL /S/N"	"AIC118"	"991208"	"Fonds d'actions américaines"	"3807250"	"19,040"	"19,040"	"19,040"	"CAD"	"n/d"	""	"Non"
"AIM CAT EXL CDN /S/N"	"AIM301"	"995981"	"Fonds d'actions canadiennes"	"3807154"	"12,838"	"12,838"	"12,838"	"CAD"	"1,14"	""	"Non"
"AIM CRS EURO /N"	"AIM595"	"997007"	"Fonds d'actions européennes"	"3807450"	"13,785"	"13,785"	"13,785"	"CAD"	"0,96"	""	"Non"
"AIM CRS EURO /S/N"	"AIM596"	"997008"	"Fonds d'actions européennes"	"3807450"	"13,785"	"13,785"	"13,785"	"CAD"	"n/d"	""	"Non"
"AIM CRS EURO /FR/S/N"	"AIM904"	"997039"	"Fonds d'actions européennes"	"3807450"	"13,785"	"13,785"	"13,785"	"CAD"	"0,96"	""	"Non"
"AIM CRS MDL U$-A/S/N"	"AIM592"	"994237"	"Fonds d'actions globales"	"3807500"	"5,682"	"5,682"	"5,682"	"USD"	"0,41"	""	"Non"
"AIM CRS MDL-A/FR/S/N"	"AIM585"	"979297"	"Fonds d'actions globales"	"3807500"	"6,014"	"6,014"	"6,014"	"CAD"	"0,40"	""	"Non"
"AIM CT CRS MDL-A/S/N"	"AIM591"	"994236"	"Fonds d'actions globales"	"3807500"	"6,014"	"6,014"	"6,014"	"CAD"	"n/d"	""	"Non"
"AIM DNT DM TR CL D/N"	"AIM611"	"988726"	"Fonds d'actions américaines"	"3807250"	"4,181"	"4,181"	"4,181"	"CAD"	"0,00"	""	"Non"
"AIM EQL CDN /S/N"	"AIM598"	"980947"	"Fonds de placement équilibré"	"3807720"	"28,051"	"28,051"	"28,051"	"CAD"	"0,79"	""	"Non"
"AIM EQL CDN-T6 /S/N"	"AIM27381"	"959697"	"Fonds de placement équilibré"	"3807720"	"12,492"	"12,492"	"12,492"	"CAD"	"6,04"	""	"Non"
"AIM EQL MDL-A /N"	"AIM794"	"980939"	"Fonds de placement équilibré"	"3807520"	"3,121"	"3,121"	"3,121"	"CAD"	"n/d"	""	"Non"
